fingerprint,seed,omitted_target_family,source_slice,evaluated_source_family,method,eligible,successes,asr,asr_query_auc,normalized_action_entropy,query_budget
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,seen_family_new_instance,transformer,random_action,146,14,0.09589041,0.04410959,0.99853390,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,seen_family_new_instance,transformer,score_greedy,146,14,0.09589041,0.04000000,0.99926085,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,exact_source,modern_cnn,bandit_action,361,8,0.02216066,0.01684211,0.99598548,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,exact_source,modern_cnn,gradient_bc_groupdro_ppo_stochastic,361,19,0.05263158,0.02362881,0.91123712,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,exact_source,modern_cnn,gradient_bc_only_stochastic,361,15,0.04155125,0.02196676,0.96531907,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,exact_source,modern_cnn,ppo_only_stochastic,361,14,0.03878116,0.01606648,0.99760072,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,exact_source,modern_cnn,random_action,361,14,0.03878116,0.01922438,0.99937469,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,exact_source,modern_cnn,score_greedy,361,14,0.03878116,0.01678670,0.99969517,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,exact_source,transformer,bandit_action,304,13,0.04276316,0.02990132,0.99320228,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,exact_source,transformer,gradient_bc_groupdro_ppo_stochastic,304,39,0.12828947,0.05753289,0.91340400,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,exact_source,transformer,gradient_bc_only_stochastic,304,37,0.12171053,0.05351974,0.96674132,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,exact_source,transformer,ppo_only_stochastic,304,32,0.10526316,0.04065789,0.99761242,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,exact_source,transformer,random_action,304,26,0.08552632,0.04315789,0.99931784,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,exact_source,transformer,score_greedy,304,30,0.09868421,0.04190789,0.99956481,50
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,seen_family_new_instance,modern_cnn,bandit_action,182,0,0.00000000,0.00000000,0.98917057,50
